Filename,Size,Unit
/Call of Duty - Modern Warfare 2 ~ Instructions.txt,5.98,K
/Call of Duty Modern Warfare 2  [PC plateform].nfo,5.65,K
/Customed Version/Multiplayer Online/zero gear/Server/SteamAPIUpdater.dll,1.24,M
/Customed Version/Multiplayer Online/zero gear/Server/UpdateDLLWrapper.dll,57.24,K
/Customed Version/Multiplayer Online/zero gear/Server/binkw32.dll,164,K
/Customed Version/Multiplayer Online/zero gear/Server/iw4mp.exe,3.73,M
/Customed Version/Multiplayer Online/zero gear/Server/iw4sp.exe,3.34,M
/Customed Version/Multiplayer Online/zero gear/Server/localization.txt,2.46,K
/Customed Version/Multiplayer Online/zero gear/Server/miles/milesEq.flt,112,K
/Customed Version/Multiplayer Online/zero gear/Server/miles/mssds3d.flt,12,K
/Customed Version/Multiplayer Online/zero gear/Server/miles/mssdsp.flt,55.5,K
/Customed Version/Multiplayer Online/zero gear/Server/miles/msseax.flt,57,K
/Customed Version/Multiplayer Online/zero gear/Server/miles/mssmp3.asi,91.5,K
/Customed Version/Multiplayer Online/zero gear/Server/miles/mssvoice.asi,149.5,K
/Customed Version/Multiplayer Online/zero gear/Server/mss32.dll,424.5,K
/Customed Version/Multiplayer Online/zero gear/Server/steam_api.dll,113.24,K
/Customed Version/Multiplayer Online/zero gear/Server/zone/english/patch.ff,15.69,K
/Customed Version/Multiplayer Online/zero gear/Server/zone/english/patch_code_pre_gfx.ff,1.22,K
/Customed Version/Multiplayer Online/zero gear/Server/zone/english/patch_code_pre_gfx_mp.ff,24.02,K
/Customed Version/Multiplayer Online/zero gear/Server/zone/english/patch_mp.ff,152.02,K
/Customed Version/Multiplayer Online/zero gear/ZeroGear.bat,26,B
/Patch 1.0.175 Don't use it now - Non usatela adesso/SteamAPIUpdater.dll,1.24,M
/Patch 1.0.175 Don't use it now - Non usatela adesso/UpdateDLLWrapper.dll,57.24,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/binkw32.dll,164,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/iw4mp.exe,3.74,M
/Patch 1.0.175 Don't use it now - Non usatela adesso/iw4sp.exe,3.34,M
/Patch 1.0.175 Don't use it now - Non usatela adesso/localization.txt,2.46,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/miles/milesEq.flt,112,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/miles/mssds3d.flt,12,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/miles/mssdsp.flt,55.5,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/miles/msseax.flt,57,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/miles/mssmp3.asi,91.5,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/miles/mssvoice.asi,149.5,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/mss32.dll,424.5,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/steam_api.dll,113.24,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/zone/english/patch.ff,15.69,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/zone/english/patch_code_pre_gfx.ff,1.22,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/zone/english/patch_code_pre_gfx_mp.ff,24.02,K
/Patch 1.0.175 Don't use it now - Non usatela adesso/zone/english/patch_mp.ff,152.02,K
/SteamInstall.msi,1.51,M
/dependance.msi,3.17,M
/setup.exe,456,K
