Filename,Size,Unit
/1975 - Ti I Ja/Zdravko Colic - Poslije Raskosi I Sjaja.mp3,5.65,M
/1975 - Ti I Ja/Zdravko Colic - Vagabund.mp3,4.77,M
/1975 - Ti I Ja/Zdravko Colic - Zvao Sam Je Emili.mp3,4.04,M
/1975 - Ti I Ja/Zdravko Colic - Ostanimo Prijatelji.mp3,3.99,M
/1975 - Ti I Ja/Zdravko Colic - Zivot Je Lep Helen - Marie.mp3,3.97,M
/1975 - Ti I Ja/Zdravko Colic - Ljubav Je Ljubav.mp3,3.87,M
/1975 - Ti I Ja/Zdravko Colic - Ti Si Svjetlo Ja Sam Tama.mp3,3.82,M
/1975 - Ti I Ja/Zdravko Colic - A Sad Sam Ja Na Redu.mp3,3.74,M
/1975 - Ti I Ja/Zdravko Colic - Lose Vino.mp3,3.56,M
/1975 - Ti I Ja/Zdravko Colic - Igras Se Vatrom.mp3,3.49,M
/1975 - Ti I Ja/cover.jpg,11.08,K
/1975 - Ti I Ja/- Ti I Ja.m3u,885,B
/2010 - Kad pogledas me preko ramena/5. Zdravko Colic - Pamuk.mp3,7.54,M
/2010 - Kad pogledas me preko ramena/11. Zdravko Colic - Ljubavnici.mp3,6.9,M
/2010 - Kad pogledas me preko ramena/8. Zdravko Colic - Pricaj mi brate.mp3,6.21,M
/2010 - Kad pogledas me preko ramena/3. Zdravko Colic - Autoput.mp3,6.15,M
/2010 - Kad pogledas me preko ramena/9 Zdravko Colic - Obmana.mp3,5.84,M
/2010 - Kad pogledas me preko ramena/12.Zdravko Colic - Prolaze neke slike.mp3,5.83,M
/2010 - Kad pogledas me preko ramena/4. Zdravko Colic - Lili.mp3,5.66,M
/2010 - Kad pogledas me preko ramena/7. Zdravko Colic - Javi se.mp3,5.62,M
/2010 - Kad pogledas me preko ramena/13. Zdravko Colic - Poplava.mp3,5.6,M
/2010 - Kad pogledas me preko ramena/10. Zdravko Colic - Meni niko ne treba.mp3,5.41,M
/2010 - Kad pogledas me preko ramena/2. Zdravko Colic - Manijaci.mp3,5.33,M
/2010 - Kad pogledas me preko ramena/1. Zdravko Colic - Kad pogledas me preko ramena.mp3,5.12,M
/2010 - Kad pogledas me preko ramena/6. Zdravko Colic - Dajte nam svega.mp3,4.84,M
/1978 - Ako pridjes blize/03 Jedna zima  sa Kristinom.mp3,7.19,M
/1978 - Ako pridjes blize/01 Pjevam danju pjevam nocu.mp3,5.44,M
/1978 - Ako pridjes blize/06 Glavo luda.mp3,4.61,M
/1978 - Ako pridjes blize/09 Ljubomora.mp3,3.95,M
/1978 - Ako pridjes blize/10 Juce jos.mp3,3.76,M
/1978 - Ako pridjes blize/07 Nevjerna zena.mp3,3.75,M
/1978 - Ako pridjes blize/05 Zagrli me.mp3,3.58,M
/1978 - Ako pridjes blize/04 Igra.mp3,3.3,M
/1978 - Ako pridjes blize/08 Jedina.mp3,3.13,M
/1978 - Ako pridjes blize/02 Produzi dalje.mp3,3.04,M
/1978 - Ako pridjes blize/cover.jpg,14.36,K
/1980 - Zbog tebe/10 Pjesmo moja.mp3,5.68,M
/1980 - Zbog tebe/03 Smijem se bez smisla.mp3,4.54,M
/1980 - Zbog tebe/05 Odvescu te.mp3,3.92,M
/1980 - Zbog tebe/02 Zbog Tebe.mp3,3.58,M
"/1980 - Zbog tebe/06 Pusti, pusti modu.mp3",3.48,M
/1980 - Zbog tebe/04 Bar jedan ples.mp3,3.33,M
/1980 - Zbog tebe/01 Pisacu joj pisma duga.mp3,3.22,M
/1980 - Zbog tebe/07 Pjevat cu za svoju dusu.mp3,2.93,M
