Filename,Size,Unit
aaf-rai.s01e05.nfo,3.54,K
aaf-rai.s01e05.r00,14.31,M
aaf-rai.s01e05.r01,14.31,M
aaf-rai.s01e05.r02,14.31,M
aaf-rai.s01e05.r03,14.31,M
aaf-rai.s01e05.r04,14.31,M
aaf-rai.s01e05.r05,14.31,M
aaf-rai.s01e05.r06,14.31,M
aaf-rai.s01e05.r07,14.31,M
aaf-rai.s01e05.r08,14.31,M
aaf-rai.s01e05.r09,14.31,M
aaf-rai.s01e05.r10,14.31,M
aaf-rai.s01e05.r11,14.31,M
aaf-rai.s01e05.r12,14.31,M
aaf-rai.s01e05.r13,14.31,M
aaf-rai.s01e05.r14,14.31,M
aaf-rai.s01e05.r15,14.31,M
aaf-rai.s01e05.r16,14.31,M
aaf-rai.s01e05.r17,14.31,M
aaf-rai.s01e05.r18,14.31,M
aaf-rai.s01e05.r19,14.31,M
aaf-rai.s01e05.r20,14.31,M
aaf-rai.s01e05.r21,14.31,M
aaf-rai.s01e05.r22,14.31,M
aaf-rai.s01e05.r23,7.52,M
aaf-rai.s01e05.rar,14.31,M
aaf-rai.s01e05.sfv,725,B
This torrent has been downloaded from scenetime.com.txt,143,B
