User Type,Username,Date,Text
,snooze2010,2010-04-18T19:27Z,is it real? fake?
,Chabs232,2010-04-18T20:47Z,"FYI : ""Just Caus"" takes an E at the end, which makes it ""Just Cause""."
,romps210,2010-05-06T06:59Z,"IT is real non steam works well on my and my friends 
PS:it only works on win 7"
,bcoop26,2010-05-22T04:39Z,what about vista
,revanzlayer,2010-07-04T19:03Z,help!!! when i start the desktop launch thing(i'm bad at english...) nothing happens
,romps210,2010-07-13T01:24Z,download the crack and then it works :)n(I had the same problem)(some cracks are not workind:)
,Jonodaman,2010-08-04T11:06Z,is this a iso??
,HJGamer,2011-03-18T19:07Z,SEED PLEASE!!!
,flarnot,2011-05-04T17:17Z,is this real because its only 3.93 gib nad the guy that said it works is the guy that put up this torrent
