User Type,Username,Date,Text
,PeterSteele,2010-10-11T08:35Z,"Fantastic upload, perfect quality... thank you."
,dagda88,2010-12-02T00:24Z,Good upload. You put forth lots of effort when adding the extra info to the torrents.  Thanks
,setxwageslave,2011-02-08T03:44Z,keeping the faith
,scottsasse,2011-05-08T01:02Z,"THANKS Kitlope!! Your torrents motherFLACking rock!! Lost my CD of ""The Real Thing"" and only have an old cassette of it. So.................THANKS for sharing and thanks to all you sexy seeders out there!! Will seed back+++. Lotta Love, DrScott"
,Bad_Wobot,2011-07-22T13:30Z,"Many thanks!

FNM!!!!"
