Filename,Size,Unit
/Smallville Season 9/Smallville s9e11.avi,700.85,M
/Smallville Season 9/Smallville s9e12.avi,700.07,M
/Smallville Season 9/Smallville s9e5.avi,351.51,M
/Smallville Season 9/Smallville s9e6.avi,351.5,M
/Smallville Season 9/Smallville s9e3.avi,351.46,M
/Smallville Season 9/Smallville.s9e20.avi,350.71,M
/Smallville Season 9/Smallville.s9e19.avi,350.46,M
/Smallville Season 9/Smallville.s9e18.avi,350.3,M
/Smallville Season 9/Smallville s9e7.avi,350.2,M
/Smallville Season 9/Smallville s9e2.avi,350.16,M
/Smallville Season 9/Smallville s9e8.avi,350.05,M
/Smallville Season 9/Smallville s9e10.avi,350.02,M
/Smallville Season 9/Smallville s9e9.avi,350,M
/Smallville Season 9/Smallville.s9e16.avi,349.94,M
/Smallville Season 9/Smallville.s9e17.avi,349.93,M
/Smallville Season 9/Smallville.s9e15.avi,349.89,M
/Smallville Season 9/Smallville s9e4.avi,349.86,M
/Smallville Season 9/Smallville s9e13.avi,349.51,M
/Smallville Season 9/Smallville s9e14.avi,349.49,M
/Smallville Season 9/Smallville s9e1.avi,347.37,M
