User Type,Username,Date,Text
,Finseeeeder,2011-03-06T07:49Z,a virus detected... dont download -.-
,danz207,2011-05-24T09:48Z,"How do you install? I'm completely lost, i tried replacing the original RSBots install but it didnt work, please help!"
,blacklabel67k,2011-07-11T02:39Z,I like how it needs my name and password. Fuck off.
,keyuchu,2011-07-15T22:55Z,black is u stupid..? it needs ur username n pass word to log in.. so u can bot and not get banned
,massivepk,2011-07-31T21:34Z,yeah it says i there is an update avalible if i say yes it just disapears and nothing happens and if i say no it dosent load any solutions man i miss this program cant belive fagex took it down
,AhhSlowpoke,2011-09-25T06:45Z,"If this bot client doesn't work for you try using this one. It has flawless randoms and the anti ban is great. This is the most recent client version. 

http://thepiratebay.org/torrent/6699917/RsBot_New_Scripts_Pre_Loaded

Enjoy, and don't forget to seed! =)"
