User Type,Username,Date,Text
,ron_i62,2012-01-31T08:48Z,Thanks
,sweetboyforlife,2012-02-19T01:51Z,is this the full movie or just the trailer ?
,emadznob,2012-05-07T18:21Z,"This is Bullshit, don't download!...
We Don't Need A 1977 Movie! WE Want the amazing spiderman 2012"
,turntechGodhead,2012-05-11T13:52Z,"Thanks for sharing  this excellent movie!

Oh, and a translation from retard to english for the person who called this bullshit, here's what they were trying to say:

emadznob: DURR HURR I'M A NEWBIE MORON, PLEASE BAN ME!"
,Ninjajp,2012-07-07T22:12Z,"emadznob: you CANT be this dumb, you just CANT! 
learn some reading comprehension and then go over the title of this movie AGAIN!! you want spiderman 2012? take your PUNK ASS to a theater!!"
