Filename,Size,Unit
/01 - In For The Kill.mp3,7.56,M
/02 - Tigerlily.mp3,6.08,M
/03 - Quicksand.mp3,6.19,M
/04 - Bulletproof.mp3,6.27,M
/05 - Colourless Colour.mp3,5.8,M
/06 - I'm Not Your Toy.mp3,5.91,M
/07 - Cover My Eyes.mp3,8.2,M
/08 - As If By Magic.mp3,6.88,M
/09 - Fascination.mp3,6.28,M
/10 - Reflections Are Protection.mp3,7.62,M
/11 - Armour Love.mp3,7.16,M
/12 - Growing Pains (Bonus Track).mp3,5.61,M
/La Roux - La Roux.log,5.74,K
/La Roux - La Roux.m3u,799,B
/La Roux.cue,2.05,K
