Filename,Size,Unit
/1989 Dusted/01 Lost Horizons.mp3,4.49,M
/1989 Dusted/02 Cajun Song.mp3,4.36,M
/1989 Dusted/03 Found Out About you.mp3,5.37,M
/1989 Dusted/04 Girls Can't Wait.mp3,4.98,M
/1989 Dusted/05 Something Wrong.mp3,4.34,M
/1989 Dusted/06 Idiot Summer.mp3,6.47,M
/1989 Dusted/07 Angels Tonight.mp3,4.26,M
/1989 Dusted/08 Keli Richards.mp3,4.09,M
/1989 Dusted/09 Hey Jealousy.mp3,5.7,M
/1989 Dusted/10 I Can Sleep.mp3,5.71,M
/1989 Dusted/11 Slave Dealer's Daughter.mp3,4.14,M
/1989 Dusted/12 Fireworks.mp3,5.21,M
/1991 Up And Crumbling/01 Mrs. Rita.mp3,6.14,M
/1991 Up And Crumbling/02 Allison Road.mp3,4.57,M
/1991 Up And Crumbling/03 Angels Tonight.mp3,4.93,M
/1991 Up And Crumbling/04 Just South of Nowhere.mp3,4.74,M
/1991 Up And Crumbling/05 Keli Richards.mp3,4.21,M
/1992 New Miserable Experience/01 Lost Horizons.mp3,4.61,M
/1992 New Miserable Experience/02 Hey Jealousy.mp3,5.42,M
/1992 New Miserable Experience/03 Mrs. Rita.mp3,6.09,M
/1992 New Miserable Experience/04 Until I Fall Away.mp3,5.33,M
/1992 New Miserable Experience/05 Hold Me Down.mp3,6.67,M
/1992 New Miserable Experience/06 Cajun Song.mp3,4.06,M
/1992 New Miserable Experience/07 Hands Are Tied.mp3,4.54,M
/1992 New Miserable Experience/08 Found Out About you.mp3,5.35,M
/1992 New Miserable Experience/09 Allison Road.mp3,4.57,M
/1992 New Miserable Experience/10 29.mp3,5.96,M
/1992 New Miserable Experience/11 Pieces of the Night.mp3,6.3,M
/1992 New Miserable Experience/12 Cheatin'.mp3,4.71,M
/1992 New Miserable Experience/AlbumArtSmall.jpg,8.51,K
/1992 New Miserable Experience/Folder.jpg,37.86,K
/1996 Congratulations... I'm Sorry/01 Day Job.mp3,8.84,M
/1996 Congratulations... I'm Sorry/02 Highwire.mp3,5.53,M
/1996 Congratulations... I'm Sorry/03 Follow you Down.mp3,10.31,M
/1996 Congratulations... I'm Sorry/04 Not Only Numb.mp3,7.12,M
/1996 Congratulations... I'm Sorry/05 As Long As it Matters.mp3,10.37,M
/1996 Congratulations... I'm Sorry/06 Perfectly Still.mp3,9.37,M
/1996 Congratulations... I'm Sorry/07 7th Inning Stretch.mp3,557.23,K
/1996 Congratulations... I'm Sorry/08 my Car.mp3,9.81,M
/1996 Congratulations... I'm Sorry/09 Virginia.mp3,9.25,M
/1996 Congratulations... I'm Sorry/10 Whitewash.mp3,7.6,M
/1996 Congratulations... I'm Sorry/11 I Can't Figure you Out.mp3,7.57,M
/1996 Congratulations... I'm Sorry/12 Memphis Time.mp3,7.42,M
/1996 Congratulations... I'm Sorry/13 Competition Smile.mp3,10.99,M
/1999 Outside Looking In - The Best of Gin Blossoms/01 Follow you Down.mp3,8.24,M
/1999 Outside Looking In - The Best of Gin Blossoms/02 Hey Jealousy.mp3,7.21,M
/1999 Outside Looking In - The Best of Gin Blossoms/03 Until I Fall Away.mp3,7.07,M
/1999 Outside Looking In - The Best of Gin Blossoms/04 Allison Road.mp3,6.09,M
/1999 Outside Looking In - The Best of Gin Blossoms/05 Mrs. Rita.mp3,8.12,M
/1999 Outside Looking In - The Best of Gin Blossoms/06 Found Out About you.mp3,7.15,M
/1999 Outside Looking In - The Best of Gin Blossoms/07 Not Only Numb.mp3,5.74,M
/1999 Outside Looking In - The Best of Gin Blossoms/08 Whitewash [Live].mp3,6.08,M
/1999 Outside Looking In - The Best of Gin Blossoms/09 Cajun Song.mp3,5.43,M
/1999 Outside Looking In - The Best of Gin Blossoms/10 Just South of Nowhere.mp3,6.32,M
/1999 Outside Looking In - The Best of Gin Blossoms/11 Pieces of the Night.mp3,8.36,M
/1999 Outside Looking In - The Best of Gin Blossoms/12 As Long As it Matters.mp3,8.26,M
/1999 Outside Looking In - The Best of Gin Blossoms/13 Day Job.mp3,7.08,M
/1999 Outside Looking In - The Best of Gin Blossoms/14 Til I Hear it From you.mp3,7.05,M
/2006 Major Lodge Victory/01 Learning the Hard Way.mp3,7.23,M
/2006 Major Lodge Victory/02 Come on Hard.mp3,7.05,M
/2006 Major Lodge Victory/03 Someday Soon.mp3,7.48,M
/2006 Major Lodge Victory/04 Heart Shaped Locket.mp3,6.41,M
/2006 Major Lodge Victory/05 the End of the World.mp3,6.41,M
/2006 Major Lodge Victory/06 Long Time Gone.mp3,6.55,M
/2006 Major Lodge Victory/07 Super Girl.mp3,8.13,M
/2006 Major Lodge Victory/08 Let's Play Two.mp3,5.48,M
/2006 Major Lodge Victory/09 Curious Thing.mp3,7.35,M
/2006 Major Lodge Victory/10 Jet Black Sunrise.mp3,6.76,M
/2006 Major Lodge Victory/11 Fool For the Taking.mp3,6.55,M
/2006 Major Lodge Victory/12 California Sun.mp3,6.48,M
/SkidVid/Allison Road.flv,7.88,M
/SkidVid/Follow You Down.flv,9.18,M
/SkidVid/Found Out About You.flv,9.4,M
/SkidVid/Till I Hear It From You.flv,8.69,M
/SkidVid/Untill I Fall Away.flv,8.74,M
