Filename,Size,Unit
/The Sword 10 (2008) (The Scangstas-DCP).cbr,9.14,M
/The Sword 11 (2008) (The Scangstas-DCP).cbr,10.74,M
/The Sword 12 (2008) (The Scangstas-DCP).cbr,10.64,M
/The Sword 13 (2008) (The Scangstas-DCP).cbr,9.92,M
/The Sword 14 (2009) (Minutemen-DTs).cbr,18.41,M
/The Sword 15 (2009) Minutemen-DTs.cbr,14.77,M
/The Sword 16 (2009) (RacerX-DCP).cbr,8.76,M
/The Sword 17 (2009) (Minutemen-DTs).cbz,16.72,M
/The Sword 18 (2009) (Minutemen-DTs).cbz,16.51,M
/Torrent downloaded from Demonoid.com.txt,47,B
